event_object_table,trigger_name,action_statement
attachments,trigger_record_history,EXECUTE FUNCTION record_history()
attachments,trigger_record_history,EXECUTE FUNCTION record_history()
attachments,trigger_record_history_attachments,EXECUTE FUNCTION record_history()
attachments,trigger_record_history_attachments,EXECUTE FUNCTION record_history()
attachments,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
attachments,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
attachments,trigger_set_timestamps_attachments,EXECUTE FUNCTION set_timestamps()
attachments,trigger_set_timestamps_attachments,EXECUTE FUNCTION set_timestamps()
risks,trigger_notify_risks,EXECUTE FUNCTION enqueue_update_notification_v2()
risks,trigger_notify_risks,EXECUTE FUNCTION enqueue_update_notification_v2()
risks,trigger_record_history,EXECUTE FUNCTION record_history()
risks,trigger_record_history,EXECUTE FUNCTION record_history()
risks,trigger_record_history_risks,EXECUTE FUNCTION record_history()
risks,trigger_record_history_risks,EXECUTE FUNCTION record_history()
risks,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
risks,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
risks,trigger_set_timestamps_risks,EXECUTE FUNCTION set_timestamps()
risks,trigger_set_timestamps_risks,EXECUTE FUNCTION set_timestamps()
frameworks_old_backup,set_updated_at_trigger,EXECUTE FUNCTION set_updated_at()
frameworks_old_backup,set_updated_at_trigger_frameworks_old_backup,EXECUTE FUNCTION set_updated_at()
frameworks_old_backup,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
frameworks_old_backup,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
frameworks_old_backup,trigger_set_timestamps_frameworks_old_backup,EXECUTE FUNCTION set_timestamps()
frameworks_old_backup,trigger_set_timestamps_frameworks_old_backup,EXECUTE FUNCTION set_timestamps()
knowledge_items,set_updated_at_trigger,EXECUTE FUNCTION set_updated_at()
knowledge_items,set_updated_at_trigger_knowledge_items,EXECUTE FUNCTION set_updated_at()
knowledge_items,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
knowledge_items,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
knowledge_items,trigger_set_timestamps_knowledge_items,EXECUTE FUNCTION set_timestamps()
knowledge_items,trigger_set_timestamps_knowledge_items,EXECUTE FUNCTION set_timestamps()
modules,set_updated_at_trigger,EXECUTE FUNCTION set_updated_at()
modules,set_updated_at_trigger_modules,EXECUTE FUNCTION set_updated_at()
modules,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
modules,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
modules,trigger_set_timestamps_modules,EXECUTE FUNCTION set_timestamps()
modules,trigger_set_timestamps_modules,EXECUTE FUNCTION set_timestamps()
decision_weights,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
decision_weights,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
decision_weights,trigger_set_timestamps_decision_weights,EXECUTE FUNCTION set_timestamps()
decision_weights,trigger_set_timestamps_decision_weights,EXECUTE FUNCTION set_timestamps()
dependencies,trigger_record_history,EXECUTE FUNCTION record_history()
dependencies,trigger_record_history,EXECUTE FUNCTION record_history()
dependencies,trigger_record_history_dependencies,EXECUTE FUNCTION record_history()
dependencies,trigger_record_history_dependencies,EXECUTE FUNCTION record_history()
dependencies,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
dependencies,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
dependencies,trigger_set_timestamps_dependencies,EXECUTE FUNCTION set_timestamps()
dependencies,trigger_set_timestamps_dependencies,EXECUTE FUNCTION set_timestamps()
framework_knowledge_link,set_updated_at_trigger,EXECUTE FUNCTION set_updated_at()
framework_knowledge_link,set_updated_at_trigger_framework_knowledge_link,EXECUTE FUNCTION set_updated_at()
framework_knowledge_link,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
framework_knowledge_link,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
framework_knowledge_link,trigger_set_timestamps_framework_knowledge_link,EXECUTE FUNCTION set_timestamps()
framework_knowledge_link,trigger_set_timestamps_framework_knowledge_link,EXECUTE FUNCTION set_timestamps()
frameworks,set_updated_at_trigger,EXECUTE FUNCTION set_updated_at()
frameworks,set_updated_at_trigger_frameworks,EXECUTE FUNCTION set_updated_at()
frameworks,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
frameworks,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
frameworks,trigger_set_timestamps_frameworks,EXECUTE FUNCTION set_timestamps()
frameworks,trigger_set_timestamps_frameworks,EXECUTE FUNCTION set_timestamps()
teams,set_updated_at_teams,EXECUTE FUNCTION set_updated_at()
teams,set_updated_at_trigger,EXECUTE FUNCTION set_updated_at()
teams,set_updated_at_trigger_teams,EXECUTE FUNCTION set_updated_at()
teams,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
teams,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
teams,trigger_set_timestamps_teams,EXECUTE FUNCTION set_timestamps()
teams,trigger_set_timestamps_teams,EXECUTE FUNCTION set_timestamps()
organizations,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
organizations,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
organizations,trigger_set_timestamps_organizations,EXECUTE FUNCTION set_timestamps()
organizations,trigger_set_timestamps_organizations,EXECUTE FUNCTION set_timestamps()
users,trigger_record_history,EXECUTE FUNCTION record_history()
users,trigger_record_history,EXECUTE FUNCTION record_history()
users,trigger_record_history_users,EXECUTE FUNCTION record_history()
users,trigger_record_history_users,EXECUTE FUNCTION record_history()
users,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
users,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
users,trigger_set_timestamps_users,EXECUTE FUNCTION set_timestamps()
users,trigger_set_timestamps_users,EXECUTE FUNCTION set_timestamps()
kpi_history,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
kpi_history,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
kpi_history,trigger_set_timestamps_kpi_history,EXECUTE FUNCTION set_timestamps()
kpi_history,trigger_set_timestamps_kpi_history,EXECUTE FUNCTION set_timestamps()
milestones,set_updated_at_milestones,EXECUTE FUNCTION set_updated_at_timestamps()
milestones,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
milestones,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
milestones,trigger_set_timestamps_milestones,EXECUTE FUNCTION set_timestamps()
milestones,trigger_set_timestamps_milestones,EXECUTE FUNCTION set_timestamps()
workflow_runs,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
workflow_runs,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
workflow_runs,trigger_set_timestamps_workflow_runs,EXECUTE FUNCTION set_timestamps()
workflow_runs,trigger_set_timestamps_workflow_runs,EXECUTE FUNCTION set_timestamps()
signal_definitions,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
signal_definitions,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()
signal_definitions,trigger_set_timestamps_signal_definitions,EXECUTE FUNCTION set_timestamps()
signal_definitions,trigger_set_timestamps_signal_definitions,EXECUTE FUNCTION set_timestamps()
department_membership,set_updated_at_trigger,EXECUTE FUNCTION set_updated_at()
department_membership,set_updated_at_trigger_department_membership,EXECUTE FUNCTION set_updated_at()
department_membership,team_members_updated_at,EXECUTE FUNCTION update_updated_at_column()
department_membership,trigger_set_timestamps,EXECUTE FUNCTION set_timestamps()